,ticker,name,sector,industry,market_cap,exchange,country_code
0,A,"Agilent Technologies, Inc. ",Computer and Technology,ELECTRONICS,37282000896.0,NYSE,United States
1,AA,Alcoa Corporation ,Industrial Products,METALS FABRICATING,4540000256.0,NYSE,United States
2,AAAP, ,Medical,DRUGS,,NSDQ,France
3,AACG,ATA Creativity Global ,Consumer Discretionary,OTHER CONS DISC,154244000.0,NSDQ,China
4,AACQ,Artius Acquisition Inc. ,Unclassified,UNCLASSIFIED,1003000000.0,NSDQ,United States
5,AAIC,Arlington Asset Investment Corp. ,Finance,REAL ESTATE,133711000.0,NYSE,United States
6,AAL,American Airlines Group Inc. ,Transportation,TRANSPORT-AIR,13630000128.0,NSDQ,United States
7,AAMC,Altisource Asset Management Corporation ,Finance,INVEST BKRS MGMT,39490000.0,NYSE,United States
8,AAME,Atlantic American Corporation ,Finance,INSURANCE,95947000.0,NSDQ,United States
9,AAN,"The Aaron's Company, Inc. ",Consumer Discretionary,OTHER CONS DISC,756611968.0,NYSE,United States